"","neighborhood","income_level","year","Fips","num_at_income_level","pct_at_income_level","median_income","rent_level","no_hhs_at_rent_level","pct_hhs_at_rent_level","median_rent","num_hhs_wo_internet","pct_hhs_wo_internet","rent_burden","borough"
"32","Lower East Side","$20,000 to $74,999",2019,103,5518,0.21886,"41302","$1,500 to $1,999",5712,0.09066,975,18239,0.23031,0.309,"Manhattan"
"33","Lower East Side","$20,000 to $74,999",2019,103,5518,0.21886,"41302","$2,000 or more",16547,0.26263,975,18239,0.23031,0.309,"Manhattan"
"34","Lower East Side","$20,000 to $74,999",2019,103,5518,0.21886,"41302","$500 to $999",15673,0.24876,975,18239,0.23031,0.309,"Manhattan"
"35","Lower East Side","$20,000 to $74,999",2019,103,5518,0.21886,"41302","Under $500",15183,0.24098,975,18239,0.23031,0.309,"Manhattan"
"36","Lower East Side","$75,000 or more",2019,103,515,0.01823,"41302","$1,000 to $1,499",9890,0.15697,975,18239,0.23031,0.309,"Manhattan"
"37","Lower East Side","$75,000 or more",2019,103,515,0.01823,"41302","$1,500 to $1,999",5712,0.09066,975,18239,0.23031,0.309,"Manhattan"
"38","Lower East Side","$75,000 or more",2019,103,515,0.01823,"41302","$2,000 or more",16547,0.26263,975,18239,0.23031,0.309,"Manhattan"
"39","Lower East Side","$75,000 or more",2019,103,515,0.01823,"41302","$500 to $999",15673,0.24876,975,18239,0.23031,0.309,"Manhattan"
"40","Lower East Side","$75,000 or more",2019,103,515,0.01823,"41302","Under $500",15183,0.24098,975,18239,0.23031,0.309,"Manhattan"
"41","Lower East Side","Less than $20,000",2019,103,12206,0.47446,"41302","$1,000 to $1,499",9890,0.15697,975,18239,0.23031,0.309,"Manhattan"
"42","Lower East Side","Less than $20,000",2019,103,12206,0.47446,"41302","$1,500 to $1,999",5712,0.09066,975,18239,0.23031,0.309,"Manhattan"
"43","Lower East Side","Less than $20,000",2019,103,12206,0.47446,"41302","$2,000 or more",16547,0.26263,975,18239,0.23031,0.309,"Manhattan"
"44","Lower East Side","Less than $20,000",2019,103,12206,0.47446,"41302","$500 to $999",15673,0.24876,975,18239,0.23031,0.309,"Manhattan"
"45","Lower East Side","Less than $20,000",2019,103,12206,0.47446,"41302","Under $500",15183,0.24098,975,18239,0.23031,0.309,"Manhattan"
"46","Chelsea/Clinton","$20,000 to $74,999",2019,104,1938.0347,0.14669,"120248","$1,000 to $1,499",5224.29643,0.115,1953,6192.64734,0.09788,0.235,"Manhattan"
"47","Chelsea/Clinton","$20,000 to $74,999",2019,104,1938.0347,0.14669,"120248","$1,500 to $1,999",4358.57873,0.09594,1953,6192.64734,0.09788,0.235,"Manhattan"
